item_id,category_id,semantic,fine-grained
214784610,58,accessories,headband
212877560,52,accessories,belt
129823056,69,accessories,socks
194361935,53,accessories,gloves
203776452,52,accessories,belt
186540746,52,accessories,belt
148691574,53,accessories,gloves
39109146,58,accessories,headband
7532302,58,accessories,headband
13251942,58,accessories,headband
195353507,58,accessories,headband
176702640,52,accessories,belt
193620268,53,accessories,gloves
189243341,52,accessories,belt
201973649,58,accessories,headband
201491646,58,accessories,headband
156322863,52,accessories,belt
156472462,58,accessories,headband
8495818,58,accessories,headband
169046607,58,accessories,headband
156786501,58,accessories,headband
170445062,58,accessories,headband
63816016,251,accessories,hosiery
213114887,52,accessories,belt
145141200,69,accessories,socks
179356936,231,accessories,pouch
204042409,58,accessories,headband
38400478,52,accessories,belt
207263713,251,accessories,hosiery
150970182,58,accessories,headband
116557761,52,accessories,belt
201700647,52,accessories,belt
194423362,52,accessories,belt
146897741,59,accessories,umbrella
67485461,251,accessories,hosiery
152902708,52,accessories,belt
143852448,58,accessories,headband
125984367,52,accessories,belt
157173938,53,accessories,gloves
184401363,52,accessories,belt
182664387,53,accessories,gloves
89424840,58,accessories,headband
61278865,52,accessories,belt
141364179,58,accessories,headband
164724526,58,accessories,headband
100433729,59,accessories,umbrella
155596344,69,accessories,socks
185499150,53,accessories,gloves
146651020,52,accessories,belt
169020625,69,accessories,socks
182702378,53,accessories,gloves
170640334,52,accessories,belt
136471910,53,accessories,gloves
201666654,58,accessories,headband
149695098,52,accessories,belt
206506762,52,accessories,belt
214779667,58,accessories,headband
198691104,58,accessories,headband
152354599,53,accessories,gloves
10062464,58,accessories,headband
206129024,58,accessories,headband
213495720,58,accessories,headband
102935813,58,accessories,headband
203394322,58,accessories,headband
154343623,69,accessories,socks
178091711,52,accessories,belt
207776473,52,accessories,belt
145809785,58,accessories,headband
192553363,58,accessories,headband
140515992,58,accessories,headband
203704657,58,accessories,headband
165757653,58,accessories,headband
127994403,251,accessories,hosiery
189524567,52,accessories,belt
89456717,58,accessories,headband
182677906,58,accessories,headband
184017658,53,accessories,gloves
149094148,58,accessories,headband
183008167,53,accessories,gloves
151221354,53,accessories,gloves
135971928,58,accessories,headband
192728783,53,accessories,gloves
88532667,52,accessories,belt
213873033,58,accessories,headband
154696784,53,accessories,gloves
208898299,58,accessories,headband
184362082,251,accessories,hosiery
184791959,58,accessories,headband
153562371,52,accessories,belt
125741097,53,accessories,gloves
193091139,53,accessories,gloves
141807175,52,accessories,belt
167677100,58,accessories,headband
157692552,58,accessories,headband
197454309,52,accessories,belt
189717025,231,accessories,pouch
104759754,58,accessories,headband
203470938,58,accessories,headband
183032278,52,accessories,belt
168819656,58,accessories,headband
142540064,58,accessories,headband
114969900,69,accessories,socks
192009324,58,accessories,headband
