item_id,category_id,semantic,fine-grained
192204745,1606,all-body,one-piece swimsuit
203595928,5,all-body,dress
181188877,4,all-body,dress
172115308,6,all-body,gown
198949092,5,all-body,dress
151939953,4,all-body,dress
169048167,3,all-body,dress
131276854,5,all-body,dress
204172766,1606,all-body,one-piece swimsuit
167254339,244,all-body,romper
152293361,4,all-body,dress
214335372,5,all-body,dress
211428983,1605,all-body,swimsuit
202286552,5,all-body,dress
181045567,4,all-body,dress
130784234,244,all-body,romper
212144955,4,all-body,dress
194650313,5,all-body,dress
194939905,5,all-body,dress
189989325,4,all-body,dress
202569694,4,all-body,dress
213274190,4,all-body,dress
156401211,4,all-body,dress
191300394,4,all-body,dress
180005110,3,all-body,dress
150628046,5,all-body,dress
212320880,4,all-body,dress
201419437,1606,all-body,one-piece swimsuit
179042336,4,all-body,dress
202048121,4,all-body,dress
201056858,4,all-body,dress
164420147,1605,all-body,swimsuit
178827902,5,all-body,dress
173459081,1606,all-body,one-piece swimsuit
200717966,4,all-body,dress
183822020,4,all-body,dress
213153723,5,all-body,dress
213762653,4,all-body,dress
195514830,4,all-body,dress
202407600,4,all-body,dress
167923962,5,all-body,dress
202400611,4,all-body,dress
210107076,4,all-body,dress
214762218,1606,all-body,one-piece swimsuit
145935090,4,all-body,dress
182260204,5,all-body,dress
210537178,244,all-body,romper
150814338,4,all-body,dress
194606250,4,all-body,dress
149243325,4,all-body,dress
214033444,5,all-body,dress
181096990,4,all-body,dress
206239669,4,all-body,dress
149257967,243,all-body,jumpsuit
194217069,4,all-body,dress
130649089,3,all-body,dress
213419748,6,all-body,gown
208665479,3,all-body,dress
201066598,1606,all-body,one-piece swimsuit
211248267,4,all-body,dress
169847533,4,all-body,dress
185937689,4,all-body,dress
207099566,4,all-body,dress
210656175,5,all-body,dress
206303631,3,all-body,dress
179082024,4,all-body,dress
210272731,4,all-body,dress
209165502,4,all-body,dress
179812166,4,all-body,dress
195151001,4,all-body,dress
213776398,4,all-body,dress
172943152,4,all-body,dress
201060888,4,all-body,dress
169468429,4,all-body,dress
209833569,3,all-body,dress
194242405,5,all-body,dress
189695897,3,all-body,dress
190975876,5,all-body,dress
203962402,4,all-body,dress
131579002,4,all-body,dress
183815794,5,all-body,dress
172938180,4,all-body,dress
178376658,4,all-body,dress
206404867,4,all-body,dress
211150949,1605,all-body,swimsuit
205032638,4,all-body,dress
180697821,3,all-body,dress
184009379,4,all-body,dress
