item_id,category_id,semantic,fine-grained
184633269,318,bags,purse
201613654,37,bags,purse
182295087,318,bags,purse
179749956,38,bags,clutch
208019230,36,bags,tote
112384952,36,bags,tote
210142332,259,bags,backpack
205327516,259,bags,backpack
165119499,37,bags,purse
192705488,259,bags,backpack
183894231,38,bags,clutch
178111049,38,bags,clutch
147973854,259,bags,backpack
211868095,259,bags,backpack
206239066,37,bags,purse
192404788,318,bags,purse
177838111,37,bags,purse
153285645,38,bags,clutch
194287403,37,bags,purse
208008031,259,bags,backpack
173273750,37,bags,purse
118856717,318,bags,purse
190456109,318,bags,purse
194464686,36,bags,tote
156094766,259,bags,backpack
175348489,318,bags,purse
143255571,37,bags,purse
127890350,36,bags,tote
211737486,36,bags,tote
206296122,37,bags,purse
180184053,37,bags,purse
209440197,37,bags,purse
192570033,38,bags,clutch
197025326,259,bags,backpack
213137146,259,bags,backpack
204692918,38,bags,clutch
190818344,37,bags,purse
143397074,259,bags,backpack
172598952,36,bags,tote
170639549,318,bags,purse
162200226,37,bags,purse
202166462,38,bags,clutch
201887792,36,bags,tote
184914454,318,bags,purse
211903637,37,bags,purse
188852454,318,bags,purse
209197288,259,bags,backpack
209171461,37,bags,purse
163718468,38,bags,clutch
157476205,37,bags,purse
179383690,37,bags,purse
135972489,36,bags,tote
114026950,38,bags,clutch
175440667,37,bags,purse
177779432,38,bags,clutch
129430216,38,bags,clutch
167193772,36,bags,tote
153660098,38,bags,clutch
173181329,318,bags,purse
170200114,38,bags,clutch
206200231,318,bags,purse
194181509,37,bags,purse
179242306,318,bags,purse
203065825,36,bags,tote
134761113,259,bags,backpack
192511179,37,bags,purse
208141094,37,bags,purse
196270039,37,bags,purse
200693261,37,bags,purse
201415408,259,bags,backpack
182129183,318,bags,purse
121666901,38,bags,clutch
179853427,259,bags,backpack
210265965,38,bags,clutch
202099736,36,bags,tote
199180788,318,bags,purse
198799694,36,bags,tote
157515415,37,bags,purse
144801137,318,bags,purse
145899378,259,bags,backpack
158173439,37,bags,purse
185308518,318,bags,purse
203797746,318,bags,purse
204638263,38,bags,clutch
212018885,37,bags,purse
177169600,37,bags,purse
196507843,318,bags,purse
203114353,36,bags,tote
150492781,36,bags,tote
208134683,36,bags,tote
174812148,35,bags,backpack
173896193,38,bags,clutch
185404747,36,bags,tote
171569904,37,bags,purse
169612327,37,bags,purse
202119874,318,bags,purse
209234827,259,bags,backpack
146826080,259,bags,backpack
204177372,318,bags,purse
204989137,318,bags,purse
171911497,38,bags,clutch
157757649,318,bags,purse
189281917,318,bags,purse
115405939,38,bags,clutch
195472788,40,bags,purse
144037144,38,bags,clutch
200016258,38,bags,clutch
184512878,37,bags,purse
192582443,318,bags,purse
186764524,36,bags,tote
200255748,36,bags,tote
175016886,37,bags,purse
134404817,37,bags,purse
191370912,38,bags,clutch
206237581,37,bags,purse
181446528,37,bags,purse
160076235,38,bags,clutch
213678206,36,bags,tote
200220844,37,bags,purse
166684427,38,bags,clutch
194299269,38,bags,clutch
137681877,258,bags,purse
191629351,37,bags,purse
172752724,39,bags,purse
207130531,36,bags,tote
179084082,36,bags,tote
137307693,37,bags,purse
153538224,37,bags,purse
172396159,36,bags,tote
203670453,259,bags,backpack
203738102,37,bags,purse
200500540,38,bags,clutch
206109474,37,bags,purse
169246143,37,bags,purse
203164656,36,bags,tote
70118559,38,bags,clutch
189093496,38,bags,clutch
187443642,37,bags,purse
162391348,37,bags,purse
163287902,36,bags,tote
148103526,37,bags,purse
208038978,39,bags,purse
202096185,318,bags,purse
208734184,37,bags,purse
182492145,37,bags,purse
181875008,36,bags,tote
192836380,40,bags,purse
176684869,36,bags,tote
157710189,36,bags,tote
192399374,36,bags,tote
205902109,318,bags,purse
199454730,37,bags,purse
170918843,318,bags,purse
193486500,318,bags,purse
84047943,40,bags,purse
200024420,37,bags,purse
203825799,37,bags,purse
53293574,258,bags,purse
116988869,36,bags,tote
192509185,38,bags,clutch
177756135,38,bags,clutch
208585835,37,bags,purse
156294689,38,bags,clutch
210962523,36,bags,tote
187817172,37,bags,purse
191764777,38,bags,clutch
175805948,36,bags,tote
129966211,259,bags,backpack
178340164,36,bags,tote
203523746,37,bags,purse
161019166,318,bags,purse
155312545,318,bags,purse
203670802,36,bags,tote
158566304,39,bags,purse
157700289,318,bags,purse
186851295,38,bags,clutch
197800102,37,bags,purse
203478700,37,bags,purse
157477363,318,bags,purse
174645938,37,bags,purse
212022719,38,bags,clutch
161211778,259,bags,backpack
209171103,318,bags,purse
195696881,38,bags,clutch
197105990,38,bags,clutch
199926341,259,bags,backpack
180401015,38,bags,clutch
162894775,35,bags,backpack
172894048,36,bags,tote
177075935,36,bags,tote
194941703,37,bags,purse
206699954,37,bags,purse
140140834,259,bags,backpack
122684012,318,bags,purse
215115744,36,bags,tote
159864329,318,bags,purse
178983973,259,bags,backpack
193717189,37,bags,purse
183815301,318,bags,purse
167511191,37,bags,purse
183773883,36,bags,tote
213080701,36,bags,tote
193418475,38,bags,clutch
177427251,37,bags,purse
187933539,37,bags,purse
209107654,318,bags,purse
207568149,318,bags,purse
148344912,258,bags,purse
205893065,37,bags,purse
194588153,37,bags,purse
193498572,36,bags,tote
152009167,318,bags,purse
170051430,38,bags,clutch
137943787,36,bags,tote
170764066,38,bags,clutch
210619922,38,bags,clutch
193158813,36,bags,tote
190419656,37,bags,purse
72553028,36,bags,tote
214259789,36,bags,tote
89476254,37,bags,purse
177406139,38,bags,clutch
144523786,37,bags,purse
115216154,37,bags,purse
154922908,37,bags,purse
201872814,38,bags,clutch
179807319,37,bags,purse
76765885,36,bags,tote
195275082,36,bags,tote
108815549,37,bags,purse
206266245,259,bags,backpack
193016280,259,bags,backpack
189497509,38,bags,clutch
147820123,37,bags,purse
156967435,38,bags,clutch
158175233,37,bags,purse
130283546,37,bags,purse
182387619,37,bags,purse
211950064,36,bags,tote
197225683,40,bags,purse
190121356,38,bags,clutch
200330435,38,bags,clutch
133276642,38,bags,clutch
155433408,38,bags,clutch
201420036,318,bags,purse
201282205,37,bags,purse
204471832,37,bags,purse
150347081,259,bags,backpack
203717680,37,bags,purse
210478630,36,bags,tote
165795066,259,bags,backpack
129493444,259,bags,backpack
146879515,259,bags,backpack
159358560,38,bags,clutch
191899567,36,bags,tote
184899990,37,bags,purse
140047349,258,bags,purse
184604208,318,bags,purse
110901742,259,bags,backpack
202845955,38,bags,clutch
213425897,37,bags,purse
190281265,38,bags,clutch
166010835,37,bags,purse
171518560,318,bags,purse
200693293,37,bags,purse
207499911,318,bags,purse
188251250,37,bags,purse
170409451,37,bags,purse
198425617,38,bags,clutch
173059789,36,bags,tote
188827476,318,bags,purse
211080628,37,bags,purse
176643031,318,bags,purse
184286559,37,bags,purse
150855084,259,bags,backpack
189495317,38,bags,clutch
180632443,40,bags,purse
200102030,259,bags,backpack
173474834,38,bags,clutch
157563132,318,bags,purse
182597142,38,bags,clutch
168194302,38,bags,clutch
206290169,37,bags,purse
210500077,259,bags,backpack
212114446,36,bags,tote
205439213,36,bags,tote
159348862,37,bags,purse
159388994,36,bags,tote
164716813,37,bags,purse
202535384,36,bags,tote
212465599,36,bags,tote
181048841,318,bags,purse
122989737,37,bags,purse
204666237,37,bags,purse
145374291,259,bags,backpack
206303395,318,bags,purse
200680288,37,bags,purse
204340017,37,bags,purse
202867919,318,bags,purse
205020012,37,bags,purse
207465226,318,bags,purse
200007069,259,bags,backpack
129664087,36,bags,tote
143985633,36,bags,tote
192277479,37,bags,purse
157166475,35,bags,backpack
173064296,36,bags,tote
174131929,259,bags,backpack
132871498,39,bags,purse
163534772,37,bags,purse
203852406,37,bags,purse
193890854,36,bags,tote
132009701,36,bags,tote
193466903,38,bags,clutch
206515562,37,bags,purse
201848080,318,bags,purse
203112088,36,bags,tote
201491268,36,bags,tote
172317716,38,bags,clutch
200457255,37,bags,purse
193725598,318,bags,purse
210250467,36,bags,tote
150552779,37,bags,purse
200995606,40,bags,purse
204346588,37,bags,purse
192715108,38,bags,clutch
209118001,37,bags,purse
210479846,318,bags,purse
163835461,38,bags,clutch
171108508,38,bags,clutch
210402804,38,bags,clutch
192482084,38,bags,clutch
153465230,38,bags,clutch
171430512,38,bags,clutch
156934315,37,bags,purse
212074194,318,bags,purse
177652591,259,bags,backpack
208638321,259,bags,backpack
207259179,318,bags,purse
194268790,36,bags,tote
143663688,38,bags,clutch
201270419,259,bags,backpack
184698900,38,bags,clutch
172700254,37,bags,purse
195288286,37,bags,purse
188568567,37,bags,purse
62147420,38,bags,clutch
144704164,38,bags,clutch
188358989,318,bags,purse
121919558,36,bags,tote
144323526,37,bags,purse
206772410,36,bags,tote
203718917,37,bags,purse
