item_id,category_id,semantic,fine-grained
155490768,55,hats,straw hat
212305223,55,hats,straw hat
134991612,55,hats,straw hat
188003729,55,hats,straw hat
184131711,55,hats,straw hat
201535561,55,hats,straw hat
169021232,55,hats,straw hat
165011223,55,hats,straw hat
124933456,55,hats,straw hat
184589531,55,hats,straw hat
191314852,55,hats,straw hat
191518857,55,hats,straw hat
177955538,55,hats,straw hat
183855241,55,hats,straw hat
207850483,55,hats,straw hat
209370931,55,hats,straw hat
170212475,55,hats,straw hat
182419518,55,hats,straw hat
211701132,55,hats,straw hat
206496995,55,hats,straw hat
204219401,55,hats,straw hat
196032940,55,hats,straw hat
210775915,55,hats,straw hat
130723925,55,hats,straw hat
200857410,55,hats,straw hat
141164367,55,hats,straw hat
178320984,55,hats,straw hat
117352019,55,hats,straw hat
169020913,55,hats,straw hat
204425687,55,hats,straw hat
173297099,55,hats,straw hat
191897717,55,hats,straw hat
135638229,55,hats,straw hat
202864386,55,hats,straw hat
206903901,55,hats,straw hat
173451783,55,hats,straw hat
195800339,55,hats,straw hat
207485074,55,hats,straw hat
193672708,55,hats,straw hat
204263095,55,hats,straw hat
201599182,55,hats,straw hat
195660630,55,hats,straw hat
163735041,55,hats,straw hat
184484906,55,hats,straw hat
183567723,55,hats,straw hat
153062518,55,hats,straw hat
181591501,55,hats,straw hat
120236014,55,hats,straw hat
192208085,55,hats,straw hat
170999701,55,hats,straw hat
126202971,55,hats,straw hat
119109566,55,hats,straw hat
211234283,55,hats,straw hat
201712731,55,hats,straw hat
211624167,55,hats,straw hat
134417818,55,hats,straw hat
209302509,55,hats,straw hat
158674100,55,hats,straw hat
207238565,55,hats,straw hat
169024239,55,hats,straw hat
206919803,55,hats,straw hat
210428738,55,hats,straw hat
132094664,55,hats,straw hat
192140457,55,hats,straw hat
192908573,55,hats,straw hat
163839041,55,hats,straw hat
142752653,55,hats,straw hat
176709165,55,hats,straw hat
205422897,55,hats,straw hat
136810821,55,hats,straw hat
136893761,55,hats,straw hat
174336559,55,hats,straw hat
176296894,55,hats,straw hat
166702099,55,hats,straw hat
212137716,55,hats,straw hat
193290630,55,hats,straw hat
157034096,55,hats,straw hat
209826489,55,hats,straw hat
206275566,55,hats,straw hat
121630905,55,hats,straw hat
125522758,55,hats,straw hat
209217169,55,hats,straw hat
169024963,55,hats,straw hat
152053156,55,hats,straw hat
169024961,55,hats,straw hat
169023609,55,hats,straw hat
176416405,55,hats,straw hat
122045611,55,hats,straw hat
208881602,55,hats,straw hat
171887606,55,hats,straw hat
130018073,55,hats,straw hat
172913475,55,hats,straw hat
183104926,55,hats,straw hat
90002195,55,hats,straw hat
145882453,55,hats,straw hat
194211344,55,hats,straw hat
135100205,55,hats,straw hat
203014631,55,hats,straw hat
196316827,55,hats,straw hat
185407127,55,hats,straw hat
86788690,55,hats,straw hat
209932451,55,hats,straw hat
174178299,55,hats,straw hat
164060611,55,hats,straw hat
177414375,55,hats,straw hat
191490126,55,hats,straw hat
193544812,55,hats,straw hat
183597008,55,hats,straw hat
173445965,55,hats,straw hat
154124676,55,hats,straw hat
208185890,55,hats,straw hat
130480758,55,hats,straw hat
206238998,55,hats,straw hat
191316558,55,hats,straw hat
179997644,55,hats,straw hat
163815505,55,hats,straw hat
159877440,55,hats,straw hat
194784732,55,hats,straw hat
169878162,55,hats,straw hat
140297691,55,hats,straw hat
139462664,55,hats,straw hat
140921645,55,hats,straw hat
168148417,55,hats,straw hat
145619929,55,hats,straw hat
156440430,55,hats,straw hat
148764636,55,hats,straw hat
137968731,55,hats,straw hat
62284019,55,hats,straw hat
169024979,55,hats,straw hat
206299708,55,hats,straw hat
177499735,55,hats,straw hat
212081308,55,hats,straw hat
170612797,55,hats,straw hat
139568596,55,hats,straw hat
153037567,55,hats,straw hat
168530468,55,hats,straw hat
163933146,55,hats,straw hat
206647292,55,hats,straw hat
155224953,55,hats,straw hat
208982322,55,hats,straw hat
132094668,55,hats,straw hat
171873155,55,hats,straw hat
152793703,55,hats,straw hat
210883061,55,hats,straw hat
173399209,55,hats,straw hat
152227632,55,hats,straw hat
203211471,55,hats,straw hat
186192788,55,hats,straw hat
161593568,55,hats,straw hat
166376182,55,hats,straw hat
175743373,55,hats,straw hat
68916723,55,hats,straw hat
134114101,55,hats,straw hat
212428144,55,hats,straw hat
198751277,55,hats,straw hat
211102790,55,hats,straw hat
182210537,55,hats,straw hat
189952098,55,hats,straw hat
198253476,55,hats,straw hat
189255235,55,hats,straw hat
157858841,55,hats,straw hat
128087898,55,hats,straw hat
169240868,55,hats,straw hat
163127222,55,hats,straw hat
186042733,55,hats,straw hat
124641674,55,hats,straw hat
152206786,55,hats,straw hat
147178455,55,hats,straw hat
190002413,55,hats,straw hat
214410451,55,hats,straw hat
136255404,55,hats,straw hat
206299710,55,hats,straw hat
173827990,55,hats,straw hat
154417093,55,hats,straw hat
185407732,55,hats,straw hat
130699498,55,hats,straw hat
206298578,55,hats,straw hat
131177081,55,hats,straw hat
157262209,55,hats,straw hat
144424236,55,hats,straw hat
164292479,55,hats,straw hat
169024243,55,hats,straw hat
186968591,55,hats,straw hat
209382893,55,hats,straw hat
170301920,55,hats,straw hat
172359920,55,hats,straw hat
203867226,55,hats,straw hat
150858427,55,hats,straw hat
128255047,55,hats,straw hat
176958241,55,hats,straw hat
146590026,55,hats,straw hat
171170833,55,hats,straw hat
184514738,55,hats,straw hat
132599105,55,hats,straw hat
212127350,55,hats,straw hat
195233112,55,hats,straw hat
202975622,55,hats,straw hat
190567624,55,hats,straw hat
175269691,55,hats,straw hat
181834067,55,hats,straw hat
136441424,55,hats,straw hat
145317861,55,hats,straw hat
169353998,55,hats,straw hat
159275007,55,hats,straw hat
191986747,55,hats,straw hat
197401323,55,hats,straw hat
170671824,55,hats,straw hat
180385774,55,hats,straw hat
123429658,55,hats,straw hat
180845358,55,hats,straw hat
143741493,55,hats,straw hat
209289844,55,hats,straw hat
204056555,55,hats,straw hat
214011155,55,hats,straw hat
201721944,55,hats,straw hat
199877459,55,hats,straw hat
151183258,55,hats,straw hat
174354516,55,hats,straw hat
206871113,55,hats,straw hat
193944671,55,hats,straw hat
174060318,55,hats,straw hat
173302698,55,hats,straw hat
170128952,55,hats,straw hat
188138506,55,hats,straw hat
179596197,55,hats,straw hat
169024272,55,hats,straw hat
150409116,55,hats,straw hat
171871404,55,hats,straw hat
196433438,55,hats,straw hat
207584813,55,hats,straw hat
195449264,55,hats,straw hat
212674661,55,hats,straw hat
172405909,55,hats,straw hat
169020864,55,hats,straw hat
208077620,55,hats,straw hat
188742892,55,hats,straw hat
209175899,55,hats,straw hat
192908701,55,hats,straw hat
164293661,55,hats,straw hat
213082061,55,hats,straw hat
177937890,55,hats,straw hat
192659075,55,hats,straw hat
154251604,55,hats,straw hat
204436195,55,hats,straw hat
184393278,55,hats,straw hat
91089457,55,hats,straw hat
113835160,55,hats,straw hat
173452595,55,hats,straw hat
212731658,55,hats,straw hat
195582106,55,hats,straw hat
199982434,55,hats,straw hat
191461572,55,hats,straw hat
164679963,55,hats,straw hat
203409749,55,hats,straw hat
181529597,55,hats,straw hat
208963563,55,hats,straw hat
184596281,55,hats,straw hat
203974423,55,hats,straw hat
123396795,55,hats,straw hat
130006419,55,hats,straw hat
167132445,55,hats,straw hat
158867146,55,hats,straw hat
202171684,55,hats,straw hat
176950501,55,hats,straw hat
174540262,55,hats,straw hat
141178184,55,hats,straw hat
212182639,55,hats,straw hat
205431855,55,hats,straw hat
134981274,55,hats,straw hat
172011383,55,hats,straw hat
202993915,55,hats,straw hat
199730846,55,hats,straw hat
138724559,55,hats,straw hat
201908926,55,hats,straw hat
179801477,55,hats,straw hat
133644049,55,hats,straw hat
207220586,55,hats,straw hat
163244497,55,hats,straw hat
140816661,55,hats,straw hat
187153756,55,hats,straw hat
165892328,55,hats,straw hat
168537490,55,hats,straw hat
184460370,55,hats,straw hat
206173242,55,hats,straw hat
206298604,55,hats,straw hat
206298600,55,hats,straw hat
208164183,55,hats,straw hat
163244514,55,hats,straw hat
209653264,55,hats,straw hat
179282678,55,hats,straw hat
206810270,55,hats,straw hat
211431880,55,hats,straw hat
173943247,55,hats,straw hat
195856260,55,hats,straw hat
209723595,55,hats,straw hat
175341517,55,hats,straw hat
132949340,55,hats,straw hat
141930875,55,hats,straw hat
171883171,55,hats,straw hat
196433482,55,hats,straw hat
204638351,55,hats,straw hat
163244505,55,hats,straw hat
163244502,55,hats,straw hat
132189901,55,hats,straw hat
171904132,55,hats,straw hat
212955026,55,hats,straw hat
145613083,55,hats,straw hat
203211579,55,hats,straw hat
197334369,55,hats,straw hat
198566298,55,hats,straw hat
181338701,55,hats,straw hat
211429137,55,hats,straw hat
210872236,55,hats,straw hat
121775586,55,hats,straw hat
172286155,55,hats,straw hat
148303651,55,hats,straw hat
205620504,55,hats,straw hat
169329603,55,hats,straw hat
209474998,55,hats,straw hat
164451138,55,hats,straw hat
207995949,55,hats,straw hat
172897916,55,hats,straw hat
201985786,55,hats,straw hat
213083879,55,hats,straw hat
168787403,55,hats,straw hat
210165842,55,hats,straw hat
210580609,55,hats,straw hat
189254571,55,hats,straw hat
187726544,55,hats,straw hat
171111883,55,hats,straw hat
149198748,55,hats,straw hat
201321813,55,hats,straw hat
209694488,55,hats,straw hat
195466385,55,hats,straw hat
170053081,55,hats,straw hat
169023610,55,hats,straw hat
165656709,55,hats,straw hat
168582592,55,hats,straw hat
187588939,55,hats,straw hat
147468849,55,hats,straw hat
166252256,55,hats,straw hat
195876188,55,hats,straw hat
204328845,55,hats,straw hat
201773126,55,hats,straw hat
163244510,55,hats,straw hat
167877940,55,hats,straw hat
176035368,55,hats,straw hat
210800149,55,hats,straw hat
164539063,55,hats,straw hat
198501358,55,hats,straw hat
204808236,55,hats,straw hat
202911526,55,hats,straw hat
172612552,55,hats,straw hat
179007848,55,hats,straw hat
197266094,55,hats,straw hat
190965501,55,hats,straw hat
209213897,55,hats,straw hat
157477787,55,hats,straw hat
126091277,55,hats,straw hat
209619756,55,hats,straw hat
193765649,55,hats,straw hat
204336530,55,hats,straw hat
212481642,55,hats,straw hat
162822524,55,hats,straw hat
208807827,55,hats,straw hat
171308239,55,hats,straw hat
176829570,55,hats,straw hat
166149303,55,hats,straw hat
143450547,55,hats,straw hat
185822910,55,hats,straw hat
204542257,55,hats,straw hat
139219171,55,hats,straw hat
205119279,55,hats,straw hat
201985774,55,hats,straw hat
147278705,55,hats,straw hat
172311745,55,hats,straw hat
205073354,55,hats,straw hat
164427036,55,hats,straw hat
125989866,55,hats,straw hat
204880057,55,hats,straw hat
151974219,55,hats,straw hat
175561976,55,hats,straw hat
149263451,55,hats,straw hat
200136078,55,hats,straw hat
172011396,55,hats,straw hat
188756661,55,hats,straw hat
135184968,55,hats,straw hat
146237206,55,hats,straw hat
107705576,55,hats,straw hat
158828163,55,hats,straw hat
119767227,55,hats,straw hat
185915307,55,hats,straw hat
177091633,55,hats,straw hat
109518600,55,hats,straw hat
160309416,55,hats,straw hat
147040036,55,hats,straw hat
162616174,55,hats,straw hat
209991404,55,hats,straw hat
212042240,55,hats,straw hat
184393300,55,hats,straw hat
201267118,55,hats,straw hat
198198295,303,hats,male baseball caps
186137140,55,hats,straw hat
176829562,55,hats,straw hat
205599300,55,hats,straw hat
160800880,55,hats,straw hat
210196773,55,hats,straw hat
195719781,55,hats,straw hat
185286371,55,hats,straw hat
194508002,55,hats,straw hat
205525770,55,hats,straw hat
129309418,55,hats,straw hat
212920786,55,hats,straw hat
181697708,55,hats,straw hat
163264855,55,hats,straw hat
200131131,55,hats,straw hat
212340062,55,hats,straw hat
206298587,55,hats,straw hat
206298583,55,hats,straw hat
206298607,55,hats,straw hat
183318039,55,hats,straw hat
171887610,55,hats,straw hat
150402010,55,hats,straw hat
169225053,55,hats,straw hat
149267650,55,hats,straw hat
153463133,55,hats,straw hat
121693273,55,hats,straw hat
174963741,55,hats,straw hat
212614891,55,hats,straw hat
177867671,55,hats,straw hat
203312260,55,hats,straw hat
203713251,55,hats,straw hat
206298568,55,hats,straw hat
114637854,55,hats,straw hat
204602664,55,hats,straw hat
207198523,55,hats,straw hat
185171863,55,hats,straw hat
174853831,55,hats,straw hat
205391382,55,hats,straw hat
148214291,55,hats,straw hat
210714934,55,hats,straw hat
191175919,55,hats,straw hat
168398465,55,hats,straw hat
178150330,55,hats,straw hat
154398675,55,hats,straw hat
181899783,55,hats,straw hat
208315276,55,hats,straw hat
171873144,55,hats,straw hat
137688473,55,hats,straw hat
172455879,55,hats,straw hat
181326503,55,hats,straw hat
203485012,55,hats,straw hat
205219658,55,hats,straw hat
212485158,55,hats,straw hat
169599138,55,hats,straw hat
120780177,55,hats,straw hat
184452769,55,hats,straw hat
208011121,55,hats,straw hat
140135669,55,hats,straw hat
