item_id,category_id,semantic,fine-grained
189054847,106,jewellery,bracelet
181997163,62,jewellery,necklace
185205999,65,jewellery,ring
203337749,64,jewellery,earrings
178172758,61,jewellery,watch
181240831,64,jewellery,earrings
158777059,65,jewellery,ring
210315603,62,jewellery,necklace
205331148,62,jewellery,necklace
203991892,62,jewellery,necklace
195701359,61,jewellery,watch
147717512,61,jewellery,watch
199559807,106,jewellery,bracelet
212926860,64,jewellery,earrings
170052627,62,jewellery,necklace
160404280,64,jewellery,earrings
190264915,64,jewellery,earrings
134549879,61,jewellery,watch
213253358,64,jewellery,earrings
184144424,62,jewellery,necklace
199567731,64,jewellery,earrings
163953360,61,jewellery,watch
127816955,65,jewellery,ring
76756819,62,jewellery,necklace
195018921,64,jewellery,earrings
120933698,65,jewellery,ring
209151828,106,jewellery,bracelet
164317681,106,jewellery,bracelet
138406606,305,jewellery,male watch
189971087,64,jewellery,earrings
187985199,106,jewellery,bracelet
199941467,62,jewellery,necklace
133776261,65,jewellery,ring
172691812,62,jewellery,necklace
204880318,62,jewellery,necklace
204797630,65,jewellery,ring
178231809,62,jewellery,necklace
155166704,64,jewellery,earrings
207390330,65,jewellery,ring
189839721,64,jewellery,earrings
186628639,61,jewellery,watch
184790671,64,jewellery,earrings
175932877,64,jewellery,earrings
192208356,64,jewellery,earrings
204128899,64,jewellery,earrings
207879671,65,jewellery,ring
165870645,62,jewellery,necklace
189173004,62,jewellery,necklace
202635008,106,jewellery,bracelet
179042698,64,jewellery,earrings
137438240,62,jewellery,necklace
176354140,64,jewellery,earrings
191683321,62,jewellery,necklace
203598281,64,jewellery,earrings
206421102,64,jewellery,earrings
189951445,65,jewellery,ring
98771644,62,jewellery,necklace
168806901,61,jewellery,watch
73484585,64,jewellery,earrings
209690918,62,jewellery,necklace
202171947,65,jewellery,ring
191281688,64,jewellery,earrings
207247240,64,jewellery,earrings
188281179,64,jewellery,earrings
130453198,64,jewellery,earrings
197543632,64,jewellery,earrings
177850301,62,jewellery,necklace
114286797,65,jewellery,ring
146171093,61,jewellery,watch
