item_id,category_id,semantic,fine-grained
192500655,24,outerwear,trench coat
128456364,24,outerwear,trench coat
186258062,24,outerwear,trench coat
181693921,236,outerwear,blazer
195972447,25,outerwear,blazer
195067867,25,outerwear,blazer
179889322,25,outerwear,blazer
194277106,25,outerwear,blazer
165992288,24,outerwear,trench coat
193694008,24,outerwear,trench coat
166776891,25,outerwear,blazer
131350734,24,outerwear,trench coat
177498209,25,outerwear,blazer
193049264,25,outerwear,blazer
92577590,25,outerwear,blazer
164436965,25,outerwear,blazer
192930672,25,outerwear,blazer
203213281,25,outerwear,blazer
131751303,25,outerwear,blazer
183628748,24,outerwear,trench coat
72762882,25,outerwear,blazer
145606447,25,outerwear,blazer
98740714,236,outerwear,blazer
188573659,25,outerwear,blazer
184708606,18,outerwear,cardigan
124249431,24,outerwear,trench coat
194777413,25,outerwear,blazer
30787382,25,outerwear,blazer
199408576,25,outerwear,blazer
152716502,24,outerwear,trench coat
145227118,18,outerwear,cardigan
207009418,1607,outerwear,coverup
191393565,24,outerwear,trench coat
194255325,25,outerwear,blazer
145471468,25,outerwear,blazer
159120364,24,outerwear,trench coat
143556106,24,outerwear,trench coat
175793587,25,outerwear,blazer
194115861,24,outerwear,trench coat
162376190,25,outerwear,blazer
194157758,24,outerwear,trench coat
144248025,24,outerwear,trench coat
166536204,236,outerwear,blazer
123053594,24,outerwear,trench coat
172915450,236,outerwear,blazer
133439603,25,outerwear,blazer
147727309,25,outerwear,blazer
156306810,24,outerwear,trench coat
192576718,25,outerwear,blazer
201498836,25,outerwear,blazer
199392874,25,outerwear,blazer
180735301,25,outerwear,blazer
206127152,25,outerwear,blazer
191586367,25,outerwear,blazer
190864763,24,outerwear,trench coat
134914659,25,outerwear,blazer
139065763,25,outerwear,blazer
166405430,24,outerwear,trench coat
198794454,18,outerwear,cardigan
182453139,18,outerwear,cardigan
185490451,25,outerwear,blazer
123409784,24,outerwear,trench coat
197552764,25,outerwear,blazer
192880190,24,outerwear,trench coat
186116625,25,outerwear,blazer
165992277,25,outerwear,blazer
207002816,25,outerwear,blazer
116945825,18,outerwear,cardigan
178374890,236,outerwear,blazer
178230391,25,outerwear,blazer
161671369,25,outerwear,blazer
96198531,25,outerwear,blazer
125199800,24,outerwear,trench coat
166748794,236,outerwear,blazer
188747574,236,outerwear,blazer
159800707,25,outerwear,blazer
130723506,24,outerwear,trench coat
185974759,24,outerwear,trench coat
190323502,24,outerwear,trench coat
185753518,25,outerwear,blazer
176190127,25,outerwear,blazer
147737628,24,outerwear,trench coat
160064371,25,outerwear,blazer
158796365,25,outerwear,blazer
152765996,24,outerwear,trench coat
154419845,24,outerwear,trench coat
173048123,236,outerwear,blazer
151309755,18,outerwear,cardigan
188377507,25,outerwear,blazer
187966297,24,outerwear,trench coat
197815296,25,outerwear,blazer
193495186,18,outerwear,cardigan
178319800,25,outerwear,blazer
77569738,236,outerwear,blazer
179895585,24,outerwear,trench coat
157698924,236,outerwear,blazer
