item_id,category_id,semantic,fine-grained
174101720,105,scarves,scarf
186970974,51,scarves,gloves
187629361,51,scarves,gloves
169699825,51,scarves,gloves
153046242,105,scarves,scarf
203163114,105,scarves,scarf
201382730,105,scarves,scarf
184388515,105,scarves,scarf
115526329,51,scarves,gloves
183493160,105,scarves,scarf
193728148,105,scarves,scarf
124572101,105,scarves,scarf
89509611,51,scarves,gloves
191181262,105,scarves,scarf
195312569,105,scarves,scarf
20840770,51,scarves,gloves
150552205,105,scarves,scarf
156078698,105,scarves,scarf
123851393,51,scarves,gloves
172449942,105,scarves,scarf
194490284,105,scarves,scarf
153981480,105,scarves,scarf
187629395,51,scarves,gloves
89008154,51,scarves,gloves
159101699,51,scarves,gloves
62156881,51,scarves,gloves
208163336,51,scarves,gloves
145163102,105,scarves,scarf
169882978,105,scarves,scarf
202289300,105,scarves,scarf
99651012,51,scarves,gloves
147243238,51,scarves,gloves
206279626,51,scarves,gloves
182002203,105,scarves,scarf
154896686,105,scarves,scarf
166006566,105,scarves,scarf
203772079,105,scarves,scarf
181819936,105,scarves,scarf
151296011,51,scarves,gloves
203772103,105,scarves,scarf
181819809,105,scarves,scarf
153951386,105,scarves,scarf
212923131,51,scarves,gloves
209037581,105,scarves,scarf
193274459,105,scarves,scarf
70287276,51,scarves,gloves
204031788,105,scarves,scarf
154787801,105,scarves,scarf
161770518,51,scarves,gloves
180375794,51,scarves,gloves
190939681,51,scarves,gloves
99651009,51,scarves,gloves
202624723,105,scarves,scarf
174335101,51,scarves,gloves
146686074,51,scarves,gloves
169947806,105,scarves,scarf
149179339,105,scarves,scarf
158056030,51,scarves,gloves
125988683,105,scarves,scarf
179028543,105,scarves,scarf
158673472,51,scarves,gloves
187504138,105,scarves,scarf
143853611,105,scarves,scarf
201066026,105,scarves,scarf
172105189,51,scarves,gloves
186763649,105,scarves,scarf
178911853,105,scarves,scarf
150987629,105,scarves,scarf
98508957,51,scarves,gloves
193618329,105,scarves,scarf
184696992,105,scarves,scarf
146825609,105,scarves,scarf
132040994,105,scarves,scarf
144136094,105,scarves,scarf
137190646,51,scarves,gloves
176454765,51,scarves,gloves
154583093,105,scarves,scarf
205346420,51,scarves,gloves
153885898,105,scarves,scarf
117261170,105,scarves,scarf
125976670,105,scarves,scarf
202219492,105,scarves,scarf
193844974,105,scarves,scarf
198582341,105,scarves,scarf
193546594,105,scarves,scarf
192478204,51,scarves,gloves
185550860,105,scarves,scarf
157788078,51,scarves,gloves
143077829,105,scarves,scarf
146252706,105,scarves,scarf
208698729,51,scarves,gloves
193629538,51,scarves,gloves
193212315,51,scarves,gloves
202219484,105,scarves,scarf
90669977,51,scarves,gloves
210355051,51,scarves,gloves
186326029,51,scarves,gloves
164934302,105,scarves,scarf
181772581,51,scarves,gloves
87511439,105,scarves,scarf
74560223,51,scarves,gloves
154547201,105,scarves,scarf
9145109,51,scarves,gloves
210993300,105,scarves,scarf
7328714,51,scarves,gloves
213086137,51,scarves,gloves
159258378,105,scarves,scarf
164336623,51,scarves,gloves
184539431,105,scarves,scarf
150031314,105,scarves,scarf
93421070,51,scarves,gloves
199743355,51,scarves,gloves
191069066,105,scarves,scarf
210886999,51,scarves,gloves
192043962,105,scarves,scarf
153919996,105,scarves,scarf
191462003,105,scarves,scarf
205911742,105,scarves,scarf
213618116,51,scarves,gloves
117565635,105,scarves,scarf
171590777,105,scarves,scarf
188432258,105,scarves,scarf
182555396,105,scarves,scarf
195552248,51,scarves,gloves
178262092,51,scarves,gloves
148416777,105,scarves,scarf
210096876,51,scarves,gloves
67645089,105,scarves,scarf
144973812,105,scarves,scarf
169020743,105,scarves,scarf
126957832,105,scarves,scarf
160888734,51,scarves,gloves
190299936,105,scarves,scarf
160951799,51,scarves,gloves
151308752,105,scarves,scarf
161081689,105,scarves,scarf
106420560,51,scarves,gloves
201513929,51,scarves,gloves
81217701,51,scarves,gloves
186058590,105,scarves,scarf
200808822,105,scarves,scarf
129547144,105,scarves,scarf
206871239,105,scarves,scarf
210081451,51,scarves,gloves
195361931,105,scarves,scarf
127037514,105,scarves,scarf
804713,51,scarves,gloves
186686001,105,scarves,scarf
13478914,51,scarves,gloves
110176320,51,scarves,gloves
192263508,105,scarves,scarf
150984558,105,scarves,scarf
191069269,105,scarves,scarf
209614914,105,scarves,scarf
186686009,105,scarves,scarf
153950951,105,scarves,scarf
169022417,105,scarves,scarf
213073783,105,scarves,scarf
145707138,105,scarves,scarf
211523226,51,scarves,gloves
189705346,105,scarves,scarf
180499263,51,scarves,gloves
129409844,51,scarves,gloves
182443438,105,scarves,scarf
172228076,105,scarves,scarf
160103640,105,scarves,scarf
198842601,105,scarves,scarf
