item_id,category_id,semantic,fine-grained
210638346,49,shoes,sneakers
196734996,46,shoes,heels
141145781,49,shoes,sneakers
192226220,47,shoes,flats
188102789,41,shoes,flat sandals
201658317,47,shoes,flats
146356864,261,shoes,heels
146383557,266,shoes,closed shoes
182018153,43,shoes,pump
203253151,46,shoes,heels
155017018,46,shoes,heels
137158643,46,shoes,heels
203358730,41,shoes,flat sandals
134104490,49,shoes,sneakers
208654587,49,shoes,sneakers
207236967,46,shoes,heels
204199496,46,shoes,heels
193937892,49,shoes,sneakers
208172566,49,shoes,sneakers
180116242,47,shoes,flats
198342267,46,shoes,heels
139337329,49,shoes,sneakers
188104363,42,shoes,boots
162701910,297,shoes,male sneakers
151680026,261,shoes,heels
131648412,48,shoes,flip-flops
184012283,261,shoes,heels
97207277,42,shoes,boots
190541649,261,shoes,heels
179044841,43,shoes,pump
160178425,43,shoes,pump
174183492,46,shoes,heels
167424910,46,shoes,heels
159381989,49,shoes,sneakers
212781685,43,shoes,pump
175189287,49,shoes,sneakers
188237114,261,shoes,heels
178024310,261,shoes,heels
188640801,49,shoes,sneakers
172967589,46,shoes,heels
208447127,49,shoes,sneakers
162257562,46,shoes,heels
130644113,49,shoes,sneakers
176301292,46,shoes,heels
159558110,43,shoes,pump
209197042,46,shoes,heels
203764882,46,shoes,heels
179132789,47,shoes,flats
80658318,261,shoes,heels
187555209,261,shoes,heels
204910962,49,shoes,sneakers
207083657,47,shoes,flats
159590037,49,shoes,sneakers
204091296,46,shoes,heels
138000305,46,shoes,heels
188559739,261,shoes,heels
172139283,46,shoes,heels
204899003,46,shoes,heels
181823301,261,shoes,heels
187400947,49,shoes,sneakers
152958042,43,shoes,pump
188529951,261,shoes,heels
207022525,43,shoes,pump
135594097,46,shoes,heels
156675022,49,shoes,sneakers
211628615,261,shoes,heels
178475071,49,shoes,sneakers
192679284,261,shoes,heels
172215964,46,shoes,heels
173456913,46,shoes,heels
215210308,50,shoes,slippers
203678687,49,shoes,sneakers
180095819,43,shoes,pump
210863536,261,shoes,heels
186502613,261,shoes,heels
109340022,46,shoes,heels
159478396,43,shoes,pump
130192587,43,shoes,pump
194059150,265,shoes,flats
204056630,46,shoes,heels
194788914,261,shoes,heels
208930614,46,shoes,heels
207097776,48,shoes,flip-flops
184879805,261,shoes,heels
155733096,43,shoes,pump
172482275,46,shoes,heels
213237291,46,shoes,heels
197615189,49,shoes,sneakers
155955453,46,shoes,heels
165847342,43,shoes,pump
196229074,49,shoes,sneakers
178961863,41,shoes,flat sandals
171053357,43,shoes,pump
75737166,261,shoes,heels
33166520,41,shoes,flat sandals
181250191,42,shoes,boots
204379982,47,shoes,flats
144591983,263,shoes,heeled boots
202086791,262,shoes,flat boots
161950492,43,shoes,pump
115215877,41,shoes,flat sandals
180890186,43,shoes,pump
172993413,47,shoes,flats
191473335,49,shoes,sneakers
188954785,49,shoes,sneakers
204408856,46,shoes,heels
111074417,261,shoes,heels
185391032,43,shoes,pump
103172216,46,shoes,heels
202212928,46,shoes,heels
117796206,49,shoes,sneakers
177433432,43,shoes,pump
153052548,262,shoes,flat boots
138969592,46,shoes,heels
206506200,46,shoes,heels
185764273,261,shoes,heels
147965177,261,shoes,heels
206210211,46,shoes,heels
166515547,48,shoes,flip-flops
170447373,49,shoes,sneakers
141659269,50,shoes,slippers
194733810,46,shoes,heels
180231571,46,shoes,heels
151307214,261,shoes,heels
165151694,46,shoes,heels
195211558,261,shoes,heels
205345459,46,shoes,heels
164226743,46,shoes,heels
204636631,46,shoes,heels
210446525,43,shoes,pump
205922174,46,shoes,heels
194576875,49,shoes,sneakers
180062832,261,shoes,heels
121844557,46,shoes,heels
140520113,46,shoes,heels
211820655,46,shoes,heels
208702686,46,shoes,heels
150285500,261,shoes,heels
202468279,43,shoes,pump
210128394,46,shoes,heels
157678468,47,shoes,flats
202553795,46,shoes,heels
175008172,46,shoes,heels
154236913,43,shoes,pump
120905004,41,shoes,flat sandals
163786556,261,shoes,heels
168944874,49,shoes,sneakers
197065997,49,shoes,sneakers
193012448,261,shoes,heels
209485262,46,shoes,heels
186069050,46,shoes,heels
141872568,43,shoes,pump
190155610,43,shoes,pump
84381800,46,shoes,heels
194468618,43,shoes,pump
199371498,49,shoes,sneakers
197697365,261,shoes,heels
164990401,46,shoes,heels
193518007,42,shoes,boots
191619264,43,shoes,pump
105987790,261,shoes,heels
169092744,46,shoes,heels
177472727,43,shoes,pump
193922189,46,shoes,heels
178024675,46,shoes,heels
151213153,261,shoes,heels
195021677,42,shoes,boots
209083529,46,shoes,heels
199673258,261,shoes,heels
214200351,49,shoes,sneakers
90874140,261,shoes,heels
179590845,266,shoes,closed shoes
136117651,49,shoes,sneakers
207062796,46,shoes,heels
191999223,43,shoes,pump
206269161,43,shoes,pump
164864495,43,shoes,pump
129327903,49,shoes,sneakers
182210507,261,shoes,heels
210995964,43,shoes,pump
184261800,261,shoes,heels
206999662,261,shoes,heels
190014868,46,shoes,heels
205571579,46,shoes,heels
189677442,261,shoes,heels
210397155,46,shoes,heels
195780537,46,shoes,heels
198296892,43,shoes,pump
204354004,46,shoes,heels
171571906,41,shoes,flat sandals
115260121,261,shoes,heels
143295694,261,shoes,heels
175993606,43,shoes,pump
201115489,43,shoes,pump
109316691,46,shoes,heels
163599273,46,shoes,heels
211762574,46,shoes,heels
186075232,261,shoes,heels
203062604,46,shoes,heels
198600357,43,shoes,pump
100976417,43,shoes,pump
167433690,261,shoes,heels
211795913,50,shoes,slippers
203954866,46,shoes,heels
206245194,47,shoes,flats
184000868,261,shoes,heels
209334522,46,shoes,heels
147407671,261,shoes,heels
208364440,49,shoes,sneakers
197415730,46,shoes,heels
183974562,47,shoes,flats
185589010,49,shoes,sneakers
142267113,46,shoes,heels
189766928,266,shoes,closed shoes
135871857,43,shoes,pump
204179450,49,shoes,sneakers
134362643,49,shoes,sneakers
94736563,261,shoes,heels
172308194,46,shoes,heels
164173391,43,shoes,pump
199461380,46,shoes,heels
203955392,49,shoes,sneakers
193136969,43,shoes,pump
189448215,49,shoes,sneakers
188176600,49,shoes,sneakers
212657721,46,shoes,heels
139629122,46,shoes,heels
177227248,41,shoes,flat sandals
211462903,49,shoes,sneakers
179848009,47,shoes,flats
173096461,41,shoes,flat sandals
95846249,263,shoes,heeled boots
196346882,49,shoes,sneakers
99596387,261,shoes,heels
131025246,43,shoes,pump
175874723,41,shoes,flat sandals
96029426,42,shoes,boots
162890870,49,shoes,sneakers
191041386,261,shoes,heels
165498467,46,shoes,heels
150578488,43,shoes,pump
188963527,261,shoes,heels
203345053,43,shoes,pump
191896783,42,shoes,boots
187920995,49,shoes,sneakers
195806087,42,shoes,boots
209486263,46,shoes,heels
207690743,267,shoes,platform shoes
111440228,46,shoes,heels
210498816,41,shoes,flat sandals
201396769,46,shoes,heels
129991638,41,shoes,flat sandals
212011087,46,shoes,heels
116813364,263,shoes,heeled boots
139391944,43,shoes,pump
190843616,43,shoes,pump
145002196,49,shoes,sneakers
211590372,46,shoes,heels
142318374,47,shoes,flats
198326246,268,shoes,sneakers
171067199,49,shoes,sneakers
210041962,46,shoes,heels
147815915,43,shoes,pump
207854361,261,shoes,heels
204104762,47,shoes,flats
191129754,261,shoes,heels
200827719,48,shoes,flip-flops
201140762,46,shoes,heels
199256020,48,shoes,flip-flops
190224714,46,shoes,heels
123105423,49,shoes,sneakers
185196782,43,shoes,pump
172147014,42,shoes,boots
191055088,46,shoes,heels
155839973,49,shoes,sneakers
173518085,46,shoes,heels
209797835,261,shoes,heels
139504923,46,shoes,heels
202935728,47,shoes,flats
73685876,261,shoes,heels
172461894,46,shoes,heels
207624578,49,shoes,sneakers
214161040,46,shoes,heels
153906311,42,shoes,boots
202248127,261,shoes,heels
202020751,41,shoes,flat sandals
128962433,47,shoes,flats
134678022,46,shoes,heels
208162089,46,shoes,heels
132953502,46,shoes,heels
172215967,46,shoes,heels
144136228,47,shoes,flats
185618532,43,shoes,pump
184804286,43,shoes,pump
16828194,46,shoes,heels
200979806,46,shoes,heels
183640029,43,shoes,pump
150908261,46,shoes,heels
208019251,47,shoes,flats
204404247,41,shoes,flat sandals
171849160,43,shoes,pump
178582479,43,shoes,pump
189054332,41,shoes,flat sandals
170256935,41,shoes,flat sandals
156537067,261,shoes,heels
205932702,46,shoes,heels
159763194,49,shoes,sneakers
173852743,261,shoes,heels
144926727,49,shoes,sneakers
134846813,47,shoes,flats
204935996,46,shoes,heels
154008845,47,shoes,flats
146529573,49,shoes,sneakers
140434515,46,shoes,heels
143287728,46,shoes,heels
181852872,41,shoes,flat sandals
209759905,41,shoes,flat sandals
214065419,46,shoes,heels
136773099,43,shoes,pump
154504605,41,shoes,flat sandals
154097129,43,shoes,pump
205883193,46,shoes,heels
203143041,46,shoes,heels
177089082,49,shoes,sneakers
148255730,41,shoes,flat sandals
205054085,267,shoes,platform shoes
189800683,49,shoes,sneakers
202758210,46,shoes,heels
169688171,261,shoes,heels
197228658,47,shoes,flats
195874980,49,shoes,sneakers
207480146,297,shoes,male sneakers
196928927,47,shoes,flats
136423014,46,shoes,heels
209444999,46,shoes,heels
179880973,46,shoes,heels
202003120,47,shoes,flats
165539691,49,shoes,sneakers
199834419,43,shoes,pump
207426843,43,shoes,pump
161800800,49,shoes,sneakers
198998025,41,shoes,flat sandals
183722605,46,shoes,heels
204177200,41,shoes,flat sandals
211870405,46,shoes,heels
127562511,43,shoes,pump
209788541,46,shoes,heels
201951948,43,shoes,pump
134386259,48,shoes,flip-flops
184902964,261,shoes,heels
166966900,49,shoes,sneakers
166403553,49,shoes,sneakers
210324275,41,shoes,flat sandals
211199056,49,shoes,sneakers
80162640,46,shoes,heels
195429838,41,shoes,flat sandals
197153931,46,shoes,heels
201977123,43,shoes,pump
203669213,46,shoes,heels
157663561,46,shoes,heels
138958806,43,shoes,pump
213400898,46,shoes,heels
202875680,42,shoes,boots
153567815,261,shoes,heels
187341924,261,shoes,heels
163931277,46,shoes,heels
