item_id,category_id,semantic,fine-grained
208673471,11,tops,sweater
210715845,11,tops,sweater
207095268,104,tops,tank
152301190,21,tops,male T-shirt
165097605,21,tops,male T-shirt
210111599,104,tops,tank
212090364,17,tops,blouse
128482404,11,tops,sweater
194913922,21,tops,male T-shirt
146410789,4495,tops,sweathirt
193011382,19,tops,sweater
214613360,17,tops,blouse
181705738,19,tops,sweater
176301296,104,tops,tank
164729095,257,tops,sports bra
97821590,104,tops,tank
168074878,17,tops,blouse
165534641,11,tops,sweater
108345265,104,tops,tank
199848419,4496,tops,hoodie
208909077,21,tops,male T-shirt
146825740,17,tops,blouse
148682588,11,tops,sweater
191551309,104,tops,tank
140990791,11,tops,sweater
170145019,19,tops,sweater
204272002,19,tops,sweater
169935295,11,tops,sweater
180952273,4496,tops,hoodie
207996092,11,tops,sweater
207894284,17,tops,blouse
186039449,26,tops,vest
207733094,11,tops,sweater
192534353,21,tops,male T-shirt
211898479,104,tops,tank
197770444,19,tops,sweater
194729724,21,tops,male T-shirt
139404842,11,tops,sweater
159675425,19,tops,sweater
185314986,19,tops,sweater
199548686,17,tops,blouse
143847358,15,tops,tunic
180486591,17,tops,blouse
187341140,21,tops,male T-shirt
204036611,11,tops,sweater
133311860,104,tops,tank
165572276,11,tops,sweater
171066952,11,tops,sweater
123493721,11,tops,sweater
190046791,11,tops,sweater
205795813,17,tops,blouse
157555738,19,tops,sweater
199987425,17,tops,blouse
141396122,17,tops,blouse
124964440,11,tops,sweater
206025378,11,tops,sweater
113354651,19,tops,sweater
129935587,17,tops,blouse
169049729,26,tops,vest
213319398,11,tops,sweater
142719153,11,tops,sweater
153490762,26,tops,vest
212750889,21,tops,male T-shirt
164324557,21,tops,male T-shirt
207312777,11,tops,sweater
191896856,11,tops,sweater
207800892,11,tops,sweater
170491265,21,tops,male T-shirt
45915715,275,tops,male T-shirt
190376644,4495,tops,sweathirt
184083427,19,tops,sweater
164323557,11,tops,sweater
150353137,11,tops,sweater
121920952,11,tops,sweater
163736813,104,tops,tank
194408315,11,tops,sweater
200034994,11,tops,sweater
14873735,104,tops,tank
182638836,11,tops,sweater
144745253,21,tops,male T-shirt
164934917,11,tops,sweater
187397794,104,tops,tank
198426710,21,tops,male T-shirt
153958586,19,tops,sweater
192374464,17,tops,blouse
157915004,19,tops,sweater
49731646,104,tops,tank
201588380,17,tops,blouse
208861944,17,tops,blouse
211445193,104,tops,tank
202841769,26,tops,vest
211893354,21,tops,male T-shirt
208340679,11,tops,sweater
135836779,17,tops,blouse
214322629,11,tops,sweater
67681026,21,tops,male T-shirt
189960408,19,tops,sweater
212484036,11,tops,sweater
136906479,11,tops,sweater
160562061,19,tops,sweater
190209524,11,tops,sweater
209947559,11,tops,sweater
181658800,104,tops,tank
172914683,104,tops,tank
147538920,19,tops,sweater
205424747,11,tops,sweater
194696531,11,tops,sweater
62463602,26,tops,vest
207257055,11,tops,sweater
193032342,19,tops,sweater
167305232,17,tops,blouse
206074027,17,tops,blouse
191696829,19,tops,sweater
207962768,11,tops,sweater
204288294,11,tops,sweater
88217964,21,tops,male T-shirt
156989152,21,tops,male T-shirt
